GEOID,neighborhood_name
131210039002,West End
131210030002,Inman Park
131210036001,Atlanta University Center
131210095013,Peachtree Hills
131210099004,East Chastain Park
131210004002,Midtown
131210004001,Midtown
131210058001,Capitol View
131210063001,South Atlanta
131210057001,Adair Park
131210037001,Atlanta University Center
131210025001,Atlanta University Center
131210032001,Grant Park
131210066012,Sylvan Hills
131210070024,Lakewood Heights
131210052003,East Atlanta
131210070011,Browns Mill Park
131210021001,Downtown
131210035002,Castleberry Hill
131210014001,Virginia Highland
131210038001,Atlanta University Center
131210050001,Grant Park
131210042002,West End
131210043001,Adair Park
131210043002,Atlanta University Center
131210065003,Capitol View
131210113061,Princeton Lakes
131210049002,Summerhill
131210035001,Capitol Gateway
131210010012,Downtown
131210026001,Atlanta University Center
131210074002,Glenrose Heights
131210076033,Pomona Park
131210076031,Fort Valley
131210071001,South River Gardens
131210076041,Baker Hills at Campbellton
130890238034,East Atlanta
130670312121,Paces
130639800001,Blair Villa/Poole Creek
130890214152,Pine Hills
130890208023,East Lake
130890238012,East Atlanta
130890204002,Reynoldstown
130890228002,East Lake
131210031002,Reynoldstown
131210077033,Southwest
131210086022,Bankhead/Bolton
131210083022,Penelope Neighbors
131210089031,Bolton
130890214151,Pine Hills
130890236011,East Lake
130890203002,Edgewood
130890204001,Inman Park
130890205001,Reynoldstown
130890238011,East Atlanta
130890201001,Edmund Park
130890202001,Candler Park
130890203001,Lake Claire
130890203003,Kirkwood
130890205002,Kirkwood
130890207001,Kirkwood
130890208021,The Villages at East Lake
130899800001,East Lake
